time_s,position_px,label,peak_to_peak_px
2.566666666666667,1.309306957271474,top,3.626045755451969
2.6,-2.1385220199410924,bottom,3.4478289772125663
2.7,1.7575691668866966,top,3.896091186827789
2.8,-0.5134859824661362,bottom,2.271055149352833
2.8666666666666667,0.8487850363466123,top,1.3622710188127485
2.9,-1.7221644598362218,bottom,2.570949496182834
2.933333333333333,1.7396956090487947,top,3.4618600688850165
2.966666666666667,-0.963625862711865,bottom,2.7033214717606597
3.1,1.520125476109115,top,2.48375133882098
3.1333333333333333,-0.4246002745669557,bottom,1.9447257506760707
3.1666666666666665,1.2673952052200548,top,1.6919954797870105
3.2,-1.3105325422417309,bottom,2.5779277474617857
3.3333333333333335,1.036809779152577,top,2.347342321394308
3.5,-1.1891283296519077,bottom,2.2259381088044847
3.566666666666667,1.0003326140119952,top,2.189460943663903
3.7333333333333334,-1.1131665273579756,bottom,2.113499141369971
3.7666666666666666,0.9804069985293609,top,2.0935735258873365
3.8666666666666667,-1.0471910453718465,bottom,2.0275980439012073
3.933333333333333,0.6267740832626032,top,1.6739651286344497
4.0,-0.8830223131324146,bottom,1.5097963963950178
4.066666666666666,0.7301536130370323,top,1.613175926169447
4.1,-0.903891378270032,bottom,1.6340449913070643
4.2,0.5583034126725579,top,1.4621947909425899
4.233333333333333,-0.8733262940245368,bottom,1.4316297066970947
5.0,0.8527877621182824,top,1.7261140561428192
6.833333333333333,-3.663527956427288,bottom,4.51631571854557
6.933333333333334,1.9433952327136694,top,5.606923189140957
7.1,-3.5226663478320006,bottom,5.46606158054567
7.2,2.213509331074647,top,5.736175678906648
7.333333333333333,-3.265881143234651,bottom,5.479390474309298
7.466666666666667,1.9570379659282935,top,5.2229191091629446
7.566666666666666,-3.2402994085173304,bottom,5.197337374445624
7.7,1.9213588220792417,top,5.161658230596572
7.833333333333333,-3.58890038112861,bottom,5.510259203207852
7.966666666666667,1.8739155819289408,top,5.462815963057551
8.066666666666666,-3.087572407014818,bottom,4.961487988943759
8.2,1.8085187498638788,top,4.896091156878697
8.333333333333334,-2.610609119684,bottom,4.419127869547879
8.466666666666667,2.266164891715789,top,4.876774011399789
8.6,-2.999411081975154,bottom,5.265575973690943
8.7,2.246717188533694,top,5.246128270508848
8.833333333333334,-2.877889487139555,bottom,5.124606675673249
8.966666666666667,2.191007864254857,top,5.068897351394412
9.1,-3.187612146006927,bottom,5.378620010261784
9.233333333333333,2.4131546953273073,top,5.600766841334234
9.3,-3.2021028870549344,bottom,5.615257582382242
9.466666666666667,2.9780625523716253,top,6.18016543942656
9.533333333333333,-2.489890692635754,bottom,5.467953245007379
9.566666666666666,2.369925559946978,top,4.859816252582732
9.633333333333333,-2.339042391281737,bottom,4.708967951228715
9.666666666666666,-0.8042847770898334,top,1.5347576141919035
9.7,-2.2323743316702576,bottom,1.4280895545804242
9.766666666666667,2.82838693285521,top,5.060761264525468
9.833333333333334,-3.1155599958588027,bottom,5.943946928714013
9.866666666666667,1.685978011315683,top,4.801538007174486
9.9,-3.8673199272375314,bottom,5.553297938553214
9.966666666666667,1.6762328041112369,top,5.543552731348768
10.0,-3.112642677244139,bottom,4.788875481355376
10.033333333333333,1.6483731771174917,top,4.761015854361631
10.1,-2.399083226850621,bottom,4.047456403968113
10.133333333333333,2.006466982479651,top,4.405550209330272
